Fairness,Excitement
-0.6404,-4.8976
-0.6484,-4.8828
-0.6524,-4.8776
-0.656,-4.8648
-0.6616,-4.8556
-0.672,-4.8504
-0.6732,-4.8184
-0.6792,-4.782
-0.6864,-4.7572
-0.6884,-4.7548
-0.6936,-4.754
-0.694,-4.7192
-0.698,-4.7128
-0.6992,-4.684
-0.7048,-4.6788
-0.7156,-4.624
-0.7184,-4.6048
-0.7252,-4.59
-0.7292,-4.536
-0.7308,-4.526
-0.7368,-4.4752
-0.7376,-4.4624
-0.7396,-4.4436
-0.74,-4.4308
-0.7428,-4.426
-0.748,-4.41
-0.7572,-4.3772
-0.7628,-4.3096
-0.7656,-4.2952
-0.7664,-4.2592
-0.7676,-4.2464
-0.7708,-4.2404
-0.7736,-4.2308
-0.7752,-4.2092
-0.7756,-4.1712
-0.7768,-4.1696
-0.7792,-4.1668
-0.7804,-4.1576
-0.782,-4.1524
-0.7896,-4.15
-0.79,-4.1224
-0.794,-4.0848
-0.7984,-4.0744
-0.8028,-4.006
-0.8048,-3.9888
-0.806,-3.9704
-0.806,-3.9704
-0.8072,-3.9656
-0.8108,-3.9456
-0.8124,-3.9092
-0.8148,-3.908
-0.8156,-3.856
-0.8172,-3.8544
-0.826,-3.85
-0.8268,-3.7824
-0.8332,-3.7612
-0.8336,-3.7472
-0.8344,-3.7308
-0.8364,-3.7232
-0.8372,-3.7044
-0.8424,-3.6832
-0.8432,-3.6228
-0.8448,-3.6216
-0.8464,-3.6028
-0.8512,-3.594
-0.8516,-3.5484
-0.8536,-3.5332
-0.8568,-3.5044
-0.858,-3.4908
-0.8588,-3.4844
-0.8592,-3.4736
-0.8624,-3.4668
-0.8668,-3.432
-0.8692,-3.4108
-0.8728,-3.3508
-0.8756,-3.292
-0.8776,-3.2832
-0.8824,-3.2628
-0.8828,-3.2144
-0.884,-3.2068
-0.8844,-3.19
-0.8848,-3.1728
-0.886,-3.1348
-0.8888,-3.1296
-0.89,-3.1284
-0.8912,-3.1088
-0.8952,-3.1012
-0.896,-3.0552
-0.8968,-3.0208
-0.9044,-2.9892
-0.9052,-2.8312
-0.91,-2.8056
-0.9136,-2.7712
-0.9144,-2.7108
-0.9148,-2.6548
-0.9172,-2.6496
-0.92,-2.6296
-0.9224,-2.566
-0.924,-2.4024
