generation,hypervolume,n_pareto,best_f1,best_f2,time
1,1.4003930000000002,80,0.458,3.07,0.00022101402282714844
2,1.5438169999999998,80,0.479,3.223,1.6708321571350098
3,1.5438169999999998,80,0.479,3.223,3.3459999561309814
4,1.6019809999999999,80,0.479,3.354,5.019618034362793
5,1.6019809999999999,80,0.479,3.354,6.703125953674316
6,1.7053479999999999,80,0.5,3.44,8.381196022033691
7,1.774623,80,0.507,3.513,10.063070058822632
8,1.775921,80,0.507,3.513,11.770040035247803
9,1.855305,80,0.507,3.666,13.458410024642944
10,2.0054440000000002,80,0.536,3.757,15.177794933319092
11,2.034045,80,0.54,3.792,16.875882863998413
12,2.080978,80,0.545,3.832,18.569616079330444
13,2.0819470000000004,80,0.545,3.833,20.271141052246094
14,2.1806460000000003,80,0.557,3.953,21.97278094291687
15,2.220822,80,0.557,4.028,23.69178318977356
16,2.222359,80,0.557,4.028,25.39640212059021
17,2.274192,80,0.567,4.028,27.1171932220459
18,2.321671,80,0.568,4.088,28.824092149734497
19,2.3824289999999997,80,0.585,4.088,30.694793224334717
20,2.4319709999999994,80,0.585,4.176,32.43115997314453
21,2.451977999999999,80,0.591,4.176,34.15403890609741
22,2.483583999999999,80,0.591,4.234,35.94275712966919
23,2.630127,80,0.61,4.338,37.66965293884277
24,2.721874,80,0.631,4.361,39.41067624092102
25,2.766954,80,0.631,4.433,41.149630069732666
26,2.804347000000001,80,0.631,4.49,42.88060998916626
27,2.8080570000000007,80,0.631,4.49,44.626044034957886
28,2.8099530000000006,80,0.631,4.49,46.36509609222412
29,2.846015,80,0.631,4.546,48.115878105163574
30,2.850170999999999,80,0.631,4.551,49.85983204841614
31,2.910168,80,0.643,4.551,51.61755108833313
32,2.935641,80,0.649,4.551,53.36935591697693
33,2.966217,80,0.657,4.551,55.125221967697144
34,2.984261,80,0.657,4.578,56.89766001701355
35,3.056094999999999,80,0.673,4.596,58.66240191459656
36,3.065306,80,0.673,4.596,60.44518804550171
37,3.0707739999999997,80,0.673,4.596,62.21415591239929
38,3.071286,80,0.673,4.596,63.98776602745056
39,3.101248,80,0.673,4.649,65.74910712242126
40,3.104356,80,0.673,4.649,67.5214250087738
41,3.1051100000000003,80,0.673,4.649,69.28274512290955
42,3.1157740000000005,80,0.675,4.649,71.05326104164124
43,3.1480900000000007,80,0.675,4.703,72.82960605621338
44,3.1530009999999997,80,0.675,4.703,74.59073615074158
45,3.153477,80,0.675,4.703,76.36550903320312
46,3.211419,80,0.675,4.814,78.13394093513489
47,3.2320109999999995,80,0.679,4.814,79.90934205055237
48,3.2357959999999997,80,0.679,4.814,81.6729040145874
49,3.236067,80,0.679,4.814,83.44116282463074
